region,province,city,district,position,candidate_name,last_name,first_name,middle_name,title,party,votes
CORDILLERA ADMINISTRATIVE REGION,ABRA,,,GOVERNOR,"BERSAMIN, TAKIT",BERSAMIN,TAKIT,,,PFP,133176
REGION XIII,AGUSAN DEL NORTE,,,GOVERNOR,"AMANTE, ANGEL",AMANTE,ANGEL,,,PDPLBN,192145
REGION XIII,AGUSAN DEL SUR,,,GOVERNOR,"CANE, SANTI",CANE,SANTI,,,NUP,222217
REGION VI,AKLAN,,,GOVERNOR,"MIRAFLORES, JO-EN",MIRAFLORES,JO-EN,,,LAKAS,232694
REGION V,ALBAY,,,GOVERNOR,"ROSAL, NOEL",ROSAL,NOEL,,,PDPLBN,404015
REGION VI,ANTIQUE,,,GOVERNOR,"JAVIER, PAOLO",JAVIER,PAOLO,,,AKSYON,147225
CORDILLERA ADMINISTRATIVE REGION,APAYAO,,,GOVERNOR,"BULUT, ELIAS JR",BULUT,ELIAS,JR,,NPC,58175
REGION III,AURORA,,,GOVERNOR,"TOLENTINO, REYNANTE",TOLENTINO,REYNANTE,,,LDP,67827
BARMM,BASILAN,,,GOVERNOR,"HATAMAN, MUJIV",HATAMAN,MUJIV,,,BUP,121829
REGION III,BATAAN,,,GOVERNOR,"GARCIA, JOET",GARCIA,JOET,,,PFP,388011
REGION II,BATANES,,,GOVERNOR,"AGUTO, JUN",AGUTO,JUN,,,PFP,3947
REGION IV A,BATANGAS,,,GOVERNOR,"SANTOS-RECTO, VILMA",SANTOS-RECTO,VILMA,,,NP,655034
CORDILLERA ADMINISTRATIVE REGION,BENGUET,,,GOVERNOR,"DICLAS, MELCHOR",DICLAS,MELCHOR,,,LAKAS,116212
REGION VIII,BILIRAN,,,GOVERNOR,"ESPINA, ROGELIO",ESPINA,ROGELIO,,,NP,74282
REGION VII,BOHOL,,,GOVERNOR,"AUMENTADO, ARIS",AUMENTADO,ARIS,,,PFP,563746
REGION X,BUKIDNON,,,GOVERNOR,"ROQUE, ONEIL",ROQUE,ONEIL,,,PFP,392204
REGION III,BULACAN,,,GOVERNOR,"FERNANDO, DANIEL",FERNANDO,DANIEL,,,NUP,1177893
REGION II,CAGAYAN,,,GOVERNOR,"AGLIPAY, 1 CAGAYAN EGAY",AGLIPAY,1,CAGAYAN EGAY,,NP,258470
REGION V,CAMARINES NORTE,,,GOVERNOR,"PADILLA, DONG",PADILLA,DONG,,,PFP,203987
REGION V,CAMARINES SUR,,,GOVERNOR,"VILLAFUERTE, LRAY",VILLAFUERTE,LRAY,,,NUP,526887
REGION X,CAMIGUIN,,,GOVERNOR,"ROMUALDO, XJ",ROMUALDO,XJ,,,LAKAS,42067
REGION VI,CAPIZ,,,GOVERNOR,"CASTRO, OTO",CASTRO,OTO,,,1CAPIZ,363221
REGION V,CATANDUANES,,,GOVERNOR,"AZANZA, PATRICK ALAIN",AZANZA,PATRICK,ALAIN,,IND,76169
REGION IV A,CAVITE,,,GOVERNOR,"REMULLA, ABENG",REMULLA,ABENG,,,NUP,1058412
REGION VII,CEBU,,,GOVERNOR,"BARICUATRO, PAM",BARICUATRO,PAM,,,PDPLBN,1107924
REGION XII,COTABATO,,,GOVERNOR,"MENDOZA, LALA",MENDOZA,LALA,,,NP,414043
REGION XI,DAVAO DE ORO,,,GOVERNOR,"MABANGLO, RAUL",MABANGLO,RAUL,,,IND,239933
REGION XI,DAVAO DEL NORTE,,,GOVERNOR,"JUBAHIB, KUYA EDWIN",JUBAHIB,KUYA,EDWIN,,PFP,323396
REGION XI,DAVAO DEL SUR,,,GOVERNOR,"CAGAS, YVONNE",CAGAS,YVONNE,,,NP,256486
REGION XI,DAVAO OCCIDENTAL,,,GOVERNOR,"BAUTISTA, COLIN",BAUTISTA,COLIN,,,PFP,104009
REGION XI,DAVAO ORIENTAL,,,GOVERNOR,"DAYANGHIRANG, NELSON BOY",DAYANGHIRANG,NELSON,BOY,,NP,219085
REGION XIII,DINAGAT ISLANDS,,,GOVERNOR,"DEMEREY, NILO JR",DEMEREY,NILO,JR,,PFP,41679
REGION VIII,EASTERN SAMAR,,,GOVERNOR,"EVARDONE, RV",EVARDONE,RV,,,PFP,204564
REGION VI,GUIMARAS,,,GOVERNOR,"NAVA, LUCILLE",NAVA,LUCILLE,,,NUP,94970
CORDILLERA ADMINISTRATIVE REGION,IFUGAO,,,GOVERNOR,"DALIPOG, JERRY",DALIPOG,JERRY,,,LAKAS,80486
REGION I,ILOCOS NORTE,,,GOVERNOR,"MARCOS, CECILIA",MARCOS,CECILIA,,,NP,299037
REGION I,ILOCOS SUR,,,GOVERNOR,"SINGSON, JERRY",SINGSON,JERRY,,,BILEG,328528
REGION VI,ILOILO,,,GOVERNOR,"DEFENSOR, TOTO",DEFENSOR,TOTO,,,USWAG,811746
REGION II,ISABELA,,,GOVERNOR,"ALBANO, RODITO",ALBANO,RODITO,,,PFP,651999
CORDILLERA ADMINISTRATIVE REGION,KALINGA,,,GOVERNOR,"EDDUBA, JAMES",EDDUBA,JAMES,,,LAKAS,75305
REGION I,LA UNION,,,GOVERNOR,"ORTEGA, MARIO EDUARDO",ORTEGA,MARIO,EDUARDO,,PFP,277097
REGION IV A,LAGUNA,,,GOVERNOR,"ARAGONES, SOL",ARAGONES,SOL,,,AKAY,599119
REGION X,LANAO DEL NORTE,,,GOVERNOR,"DIMAPORO, KHALID",DIMAPORO,KHALID,,,LAKAS,258853
BARMM,LANAO DEL SUR,,,GOVERNOR,"ADIONG, MAMINTAL JR.",ADIONG,MAMINTAL,JR.,,LAKAS,354647
REGION VIII,LEYTE,,,GOVERNOR,"PETILLA, ICOT",PETILLA,ICOT,,,NPC,661299
BARMM,MAGUINDANAO DEL NORTE,,,GOVERNOR,"MASTURA, TUCAO",MASTURA,TUCAO,,DATU,PFP,199049
BARMM,MAGUINDANAO DEL SUR,,,GOVERNOR,"MIDTIMBANG, ALI",MIDTIMBANG,ALI,,,PFP,176228
REGION IV B,MARINDUQUE,,,GOVERNOR,"GO, MEL GO",GO,MEL,GO,,PDPLBN,66115
REGION V,MASBATE,,,GOVERNOR,"KHO, RICHARD",KHO,RICHARD,,,LAKAS,321100
REGION X,MISAMIS OCCIDENTAL,,,GOVERNOR,"OAMINAL, HENRY",OAMINAL,HENRY,,,NP,297067
REGION X,MISAMIS ORIENTAL,,,GOVERNOR,"UY, JULIETTE",UY,JULIETTE,,,NUP,327305
CORDILLERA ADMINISTRATIVE REGION,MOUNTAIN PROVINCE,,,GOVERNOR,"LACWASAN, BONIFACIO JR",LACWASAN,BONIFACIO,JR,,PFP,50666
NEGROS ISLAND REGION,NEGROS OCCIDENTAL,,,GOVERNOR,"LACSON, BONG",LACSON,BONG,,,NPC,911614
NEGROS ISLAND REGION,NEGROS ORIENTAL,,,GOVERNOR,"SAGARBARRIA, CHACO",SAGARBARRIA,CHACO,,,PFP,365020
REGION VIII,NORTHERN SAMAR,,,GOVERNOR,"ONGCHUAN, HARRIS ONG",ONGCHUAN,HARRIS,ONG,,NUP,212471
REGION III,NUEVA ECIJA,,,GOVERNOR,"UMALI, OYIE",UMALI,OYIE,,,SIGAW,983805
REGION II,NUEVA VIZCAYA,,,GOVERNOR,"GAMBITO, JING",GAMBITO,JING,,,PFP,151517
REGION IV B,OCCIDENTAL MINDORO,,,GOVERNOR,"GADIANO, ED",GADIANO,ED,,,PFP,200673
REGION IV B,ORIENTAL MINDORO,,,GOVERNOR,"DOLOR, BONZ",DOLOR,BONZ,,,GSM,235935
REGION IV B,PALAWAN,,,GOVERNOR,"ALVAREZ, AMY",ALVAREZ,AMY,,,PPP,264363
REGION III,PAMPANGA,,,GOVERNOR,"PINEDA, NANAY LILIA",PINEDA,NANAY,LILIA,,KMBLN,709694
REGION I,PANGASINAN,,,GOVERNOR,"GUICO, RAMON III",GUICO,RAMON,III,,NP,881307
REGION IV A,QUEZON,,,GOVERNOR,"TAN, DOKTORA HELEN",TAN,DOKTORA,HELEN,,STAN Q,1011465
REGION II,QUIRINO,,,GOVERNOR,"CUA, DAX",CUA,DAX,,,PFP,97595
REGION IV A,RIZAL,,,GOVERNOR,"YNARES, NINA",YNARES,NINA,,,NPC,884132
REGION IV B,ROMBLON,,,GOVERNOR,"FIRMALO-FABIC, TRINA",FIRMALO-FABIC,TRINA,,,LP,93425
REGION VIII,SAMAR,,,GOVERNOR,"TAN, ANN",TAN,ANN,,,NP,419470
